Company,Role,Topic,Sub-topic,Round,Question
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,Write a SQL query to find the rank of a given student by name from a students-marks table.
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,"How do you join two tables? Explain INNER, LEFT, RIGHT, FULL OUTER JOIN with examples."
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,What is the difference between WHERE and HAVING? When would you use each?
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,"Write a query using ROW_NUMBER(), RANK(), DENSE_RANK() to rank employees by salary within each department."
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,Write a query to find the second-highest salary in a table without using LIMIT/TOP.
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,What is the difference between GROUP BY and PARTITION BY?
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,Explain CTEs (Common Table Expressions). Write a CTE to find top 5 products by revenue.
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,What are indexes? How would you decide which columns to index on a large orders table?
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,What is the difference between UNION and UNION ALL?
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,Write a SQL query to calculate month-over-month revenue growth using LAG().
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,Find customers who placed orders in both January and February from an orders table.
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,Write a query to find duplicate rows in a table and delete them keeping one.
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,"Explain the difference between DELETE, TRUNCATE, and DROP."
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,"What is database normalization? Explain 1NF, 2NF, 3NF with examples."
TechMojo,Business / Data Analyst,SQL,Joins / Aggregation / Window Functions,Technical Round,What is the difference between a clustered and non-clustered index?
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,"How do you read a CSV, Excel, and SQL table into a pandas DataFrame?"
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,"Explain the difference between loc[], iloc[], and at[] in pandas."
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,"How do you handle missing values? Compare fillna(), dropna(), interpolate(), and forward-fill."
TechMojo,Business / Data Analyst,Python,Data Manipulation / Pandas / EDA,Technical Round,Write a function that removes outliers from a DataFrame column using z-score (threshold ±3).
