#,Company,Role,Topic,Sub-topic,Difficulty,Round,Question
1,Indium,Data Analyst,SQL,Query Execution Order,Medium,R1 - Technical,"What is the order of execution of a SQL query? Explain where FROM, JOIN, WHERE, GROUP BY, HAVING, SELECT, ORDER BY, and LIMIT fit in this order. Also explain why WHERE executes before window functions but HAVING executes after GROUP BY."
2,Indium,Data Analyst,SQL,JOINs — Types & Output,Medium,R1 - Technical,"Given two tables T1 (IDs: 1,1,1,1,1,NULL) and T2 (IDs: 1,1,1,NULL,NULL), calculate the exact number of rows returned by INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN. Explain the logic behind each output."
3,Indium,Data Analyst,SQL,JOINs — Practical Queries,Medium,R1 - Technical,"You are given Customers(CustomerID, CustomerName) and Orders(OrderID, CustomerID, OrderAmount). Write a query to show each customer name with total order amount. Customers with no orders should show 0. Also find customers who have never placed an order."
4,Indium,Data Analyst,SQL,Self Join,Medium,R1 - Technical,"Write SQL to find: (a) employees who earn more than their manager, (b) employees who share the same manager. Explain what a self-join is and give 3 real-world use cases for it."
5,Indium,Data Analyst,SQL,"GROUP BY, HAVING and WHERE",Medium,R1 - Technical,Does WHERE execute before or after GROUP BY? Explain with an example. Write a query using GROUP BY and HAVING to find departments whose average salary exceeds 6000. Also explain the difference between WHERE and HAVING.
6,Indium,Data Analyst,SQL,"Window Functions — RANK, DENSE_RANK, ROW_NUMBER",Hard,R1 - Technical,"Explain ROW_NUMBER(), RANK(), and DENSE_RANK() with an example. For values {5, 5, 10, 10, 15}, show the output of each function. Write a query to find the top N records per group such as top 2 salaries per department, and also find the 2nd highest salary overall."
7,Indium,Data Analyst,SQL,CTEs and Subqueries,Medium,R2 - Technical,What is a CTE (Common Table Expression)? When would you use it over a subquery? Write a CTE to find the monthly retention rate of users by using the first order date to mark acquisition and checking return visits in subsequent months.
8,Indium,Data Analyst,SQL,"Window Functions — LAG, LEAD and Running Total",Hard,R2 - Technical,Using LAG and LEAD window functions: (a) write a query to calculate revenue delta — the change from the previous day — for a sales table. (b) Write a query for running cumulative total of sales per day within each week where the total resets every week. Handle missing months in the sequence.
9,Indium,Data Analyst,SQL,Deduplication,Medium,R1 - Technical,"You have an employee table with duplicate records. Explain 3 different ways to identify and remove duplicates in SQL using DISTINCT, ROW_NUMBER with CTE, and GROUP BY. Also write a query for a city-pair table where (Hyderabad to Delhi) and (Delhi to Hyderabad) are the same route and remove such symmetric duplicates."
10,Indium,Data Analyst,SQL,"UNION, NULL Handling and SQL Commands",Easy,R1 - Technical,Explain UNION vs UNION ALL with an example. Show how NULL behaves in JOINs and comparisons such as NULL = NULL. Also explain the difference between DDL and DML commands and give examples of each such as CREATE and ALTER vs INSERT and UPDATE.
11,Indium,Data Analyst,SQL,New vs Returning Users,Hard,R2 - Technical,"Given columns user_id, trip_id, trip_request_time, trip_status, country, and city, write a query to find the monthly percentage of new users vs returning users. A user is new in the month of their first trip and returning in all subsequent months."
12,Indium,Data Analyst,SQL,7-Day Window and Cohort Analysis,Hard,R2 - Technical,"Given cust_id, trip_dt, and ride_type: (a) write a query to find users who took more than 1 trip within 7 days of their first trip. (b) Find customers who used more than one distinct ride type within any 7-day window."
13,Indium,Data Analyst,SQL,Market Share and Aggregations,Hard,R2 - Technical,"Given transactions(order_id, merchant_id, brand, category, sales, order_date) and merchants(merchant_id, city), write a query to compute Red Bull market share in the Energy Drinks category by city for last month. Market share equals Red Bull sales divided by total Energy Drinks sales."
14,Indium,Data Analyst,SQL,Consecutive Patterns,Hard,R2 - Technical,"Write SQL queries for: (a) find sales that occurred on 3 consecutive days from a date-and-flag table, (b) find numbers that appear in 3 or more consecutive rows, (c) track a user online streak and identify gap periods with columns GapStart, GapEnd, and Days offline."
15,Indium,Data Analyst,SQL,Set Logic — Exclusive Products,Hard,R1 - Technical,"From a store-product table, write a query to find store IDs that sell ONLY Tea and Coffee and no other product. Extend this to find users who bought ONLY Chocolate and no other product. Also generate all possible match combinations between teams without repeats."
16,Indium,Data Analyst,SQL,Median and Subquery Patterns,Hard,R2 - Technical,"Write a query to calculate the median of a salary or sales column handling both odd and even number of rows. Also write a query to find employees above their department average salary, and calculate department average vs company average per month."
17,Indium,Data Analyst,SQL,YoY and MoM Growth,Hard,R2 - Technical,Write a SQL query to compute Year-on-Year and Month-over-Month growth for revenue using LAG or self-join approaches. Also write a query to find organisations whose sales have consistently grown year over year without any decline.
18,Indium,Data Analyst,SQL,Complex Multi-table Query,Hard,R1 - Assessment,"Given trips_data(date, trip_id, rider_id, status, city_id, trip_amount) and city_data(city_id, city_name, country_name): (a) find the top 3 cities with highest gross booking per country for a given month, (b) find the bottom 3 countries by rider cancellation percentage, (c) find cities with zero completed trips."
19,Indium,Data Analyst,Python,Pandas — Data Manipulation,Medium,R1 - Assessment,"Given a DataFrame with user_id, date, and sales: (a) convert date to datetime, (b) compute total sales per user per month, (c) identify users whose monthly sales declined for 3 consecutive months. Also merge two DataFrames — orders and users — and show each user total order amount sorted descending."
20,Indium,Data Analyst,Python,"Pandas — groupby, pivot and value_counts",Medium,R2 - Technical,"Write Python code using Pandas to: (a) use groupby and value_counts to summarise customer transactions by category, (b) compute total sales, average sales, and max sale per salesperson into a summary DataFrame, (c) filter rows above the group average using groupby and transform."
21,Indium,Data Analyst,Python,Python Basics — Functions and Comprehensions,Easy,R1 - Technical,"Write Python programs to: (a) count word frequency in a string, (b) find all pairs in a list whose sum equals a target, (c) generate squares of a list using map and lambda, (d) check if a number is prime, (e) write a shopping list calculator applying 10 percent discount on items over Rs. 50."
22,Indium,Data Analyst,Python,Python — Data Structures and Error Handling,Easy,R1 - Technical,"Explain: (a) difference between Lists and Tuples in Python, (b) what Pandas and NumPy are used for, (c) what a DataFrame is, (d) how to read a CSV using Pandas, (e) predict the output of try, except, and finally blocks and modify the code so both except and finally execute."
23,Indium,Data Analyst,Python,Python Conditional Logic and Iteration,Easy,R1 - Assessment,"Write a Python program that: (a) randomly selects a number from a list and prints Fizz, Buzz, or FizzBuzz based on divisibility, (b) groups a list of words into anagram sets, (c) given a list of purchases as item-price pairs, computes total spend per item type across all 5 possible types."
24,Indium,Data Analyst,Tableau,LOD Expressions,Hard,R1 - Technical,"What are Level of Detail expressions in Tableau? Write the syntax for FIXED, INCLUDE, and EXCLUDE. When would you use a FIXED LOD over a normal calculated field? Provide a real-world example where you have used LOD expressions in a project."
25,Indium,Data Analyst,Tableau,Filters and Execution Order,Medium,R1 - Technical,"Explain the order of execution in Tableau: Context Filter, Extract Filter, Data Source Filter, Fixed LOD, Dimension Filter, Measure Filter, and Table Calculation Filter. If both a Top N filter and a Context filter are applied, which one runs first and why?"
